"['金水区', '紫荆山']",金水路108号,58,8737,"['2室1厅1卫', '高楼层 (共7层)', '66.39㎡', '平层', '板楼', '东南 东 南', '砖混结构', '简装', '一梯两户', '自供暖']"
"['中原区', '热电厂']",物华城上城,105,11880,"['2室2厅1卫', '高楼层 (共15层)', '88.39㎡', '平层', '69.48㎡', '板楼', '南', '钢混结构', '简装', '两梯三户', '集中供暖', '有']"
"['管城回族区', '万客来']",春天花园,101,10340,"['2室2厅1卫', '中楼层 (共11层)', '97.68㎡', '平层', '板楼', '南 北', '钢混结构', '精装', '一梯两户', '自供暖']"
"['郑东新区', '郑东老街']",永威翰林居,418,32007,"['3室2厅2卫', '高楼层 (共8层)', '130.6㎡', '平层', '板楼', '东', '钢混结构', '精装', '一梯三户', '集中供暖', '有']"
"['管城回族区', '管南区域']",七里香堤,132,14538,"['3室1厅1卫', '低楼层 (共28层)', '90.8㎡', '平层', '68.56㎡', '板塔结合', '东南', '钢混结构', '精装', '两梯五户', '集中供暖', '有']"
"['中原区', '月季公园']",嵩岳小区,56,9743,"['2室1厅1卫', '中楼层 (共6层)', '57.48㎡', '平层', '板楼', '南', '砖混结构', '简装', '一梯三户', '自供暖']"
"['荥阳市', '荥阳城区']",梧桐雨,103,10294,"['3室1厅1卫', '低楼层 (共24层)', '100.06㎡', '平层', '73.98㎡', '板塔结合', '南 北', '钢混结构', '其他', '两梯两户', '集中供暖', '有']"
"['高新区', '高新梧桐']",升龙又一城2号院,105,11678,"['2室2厅1卫', '中楼层 (共33层)', '89.92㎡', '平层', '板塔结合', '西南', '钢混结构', '其他', '两梯四户', '集中供暖', '有']"
"['航空港区', '航空港商圈']",万科美景魅力之城幽兰园,82,9180,"['3室1厅1卫', '低楼层 (共23层)', '89.33㎡', '平层', '66.15㎡', '板楼', '南 北', '钢混结构', '精装', '两梯四户', '集中供暖', '有']"
"['郑东新区', '白沙']",郑东名筑,115,10438,"['4室2厅2卫', '中楼层 (共11层)', '110.18㎡', '平层', '塔楼', '南 北', '钢混结构', '简装', '两梯两户', '集中供暖', '有']"
"['郑东新区', '通泰路']",中凯华府,81,19490,"['1室1厅1卫', '中楼层 (共18层)', '41.56㎡', '平层', '31.06㎡', '板塔结合', '北', '钢混结构', '精装', '两梯十六户', '集中供暖', '有']"
"['金水区', '燕庄']",银基王朝,210,18714,"['2室2厅1卫', '高楼层 (共32层)', '112.22㎡', '平层', '板塔结合', '南', '钢混结构', '其他', '两梯四户', '集中供暖', '有']"
"['惠济区', '惠济万达']",天伦庄园三期,210,14668,"['4室2厅2卫', '低楼层 (共25层)', '143.17㎡', '平层', '114.27㎡', '板塔结合', '西 南 北', '钢混结构', '简装', '两梯四户', '集中供暖', '有']"
"['金水区', '沙口路']",飞马雅居,139,12161,"['3室1厅1卫', '中楼层 (共6层)', '114.3㎡', '平层', '104.06㎡', '板楼', '南 北', '砖混结构', '精装', '八梯两户', '自供暖', '有']"
"['中原区', '五龙口']",领创天誉华庭,155,17483,"['3室2厅1卫', '高楼层 (共33层)', '88.66㎡', '平层', '63.92㎡', '板楼', '南 北', '钢混结构', '简装', '两梯四户', '集中供暖', '有']"
"['航空港区', '航空港商圈']",正弘中央公园麓林苑,100,8487,"['3室1厅2卫', '低楼层 (共26层)', '117.84㎡', '平层', '板楼', '南 北', '钢混结构', '其他', '两梯四户', '集中供暖', '有']"
"['荥阳市', '荥阳城区']",河阴北路031号,39,2789,"['3室1厅1卫', '高楼层 (共6层)', '139.88㎡', '平层', '暂无数据', '南', '未知结构', '简装', '一梯两户']"
"['高新区', '高新新郑大']",裕华满园,110,12478,"['3室2厅1卫', '低楼层 (共33层)', '88.16㎡', '平层', '板塔结合', '南', '钢混结构', '毛坯', '两梯五户', '集中供暖', '有']"
"['金水区', '海洋馆']",假日蓝湾,170,14073,"['3室2厅2卫', '中楼层 (共6层)', '120.8㎡', '平层', '板塔结合', '南 北', '钢混结构', '其他', '三梯两户', '集中供暖', '有']"
"['中原区', '中原万达']",中原名邸,55,11939,"['1室1厅1卫', '中楼层 (共29层)', '46.07㎡', '平层', '37.02㎡', '板塔结合', '北', '混合结构', '精装', '三梯十二户', '集中供暖', '有']"
"['中牟县', '中牟城区']",桃源小区,42,5997,"['2室1厅1卫', '高楼层 (共6层)', '70.04㎡', '平层', '板楼', '南 北', '混合结构', '简装', '一梯两户', '集中供暖']"
"['中原区', '五龙口']",金水世纪城,108,13813,"['2室1厅1卫', '低楼层 (共33层)', '78.19㎡', '平层', '板塔结合', '南', '钢混结构', '简装', '两梯四户', '集中供暖', '有']"
"['高新区', '五龙口']",红河瀛园一期东院,105,10143,"['2室1厅1卫', '低楼层 (共17层)', '103.52㎡', '平层', '塔楼', '南 北', '钢混结构', '精装', '两梯四户', '自供暖', '有']"
"['郑东新区', '通泰路']",润城时光里,145,16593,"['2室1厅1卫', '高楼层 (共27层)', '87.39㎡', '平层', '65.14㎡', '塔楼', '南', '钢混结构', '精装', '两梯四户', '集中供暖', '有']"
"['管城回族区', '二七广场']",管城街,70,10209,"['2室1厅1卫', '中楼层 (共7层)', '68.57㎡', '平层', '板楼', '南 北', '混合结构', '其他', '一梯两户', '自供暖']"
"['新郑市', '南龙湖商圈']",康桥原溪里1号院,72,8869,"['2室1厅1卫', '中楼层 (共18层)', '81.19㎡', '平层', '62.58㎡', '板楼', '南', '钢混结构', '其他', '两梯四户', '自供暖', '有']"
"['管城回族区', '世纪欢乐园']",紫云小区,80,12438,"['2室1厅1卫', '高楼层 (共6层)', '64.32㎡', '平层', '56.89㎡', '板楼', '南', '混合结构', '其他', '一梯两户', '自供暖']"
"['荥阳市', '荥阳城区']",政法小区,35,2967,"['3室1厅2卫', '高楼层 (共6层)', '118㎡', '平层', '109.79㎡', '暂无数据', '南 北', '砖混结构', '简装', '一梯两户']"
"['二七区', '万客来']",海豫花园,90,11484,"['2室1厅1卫', '低楼层 (共34层)', '78.37㎡', '平层', '54.22㎡', '塔楼', '东北', '钢混结构', '其他', '五梯十四户', '集中供暖', '有']"
"['金水区', '沙口路']",汉飞金沙国际,130,14194,"['2室2厅1卫', '中楼层 (共28层)', '91.59㎡', '平层', '73.08㎡', '板塔结合', '南', '钢混结构', '精装', '两梯四户', '自供暖', '有']"
"['金水区', '紫荆山']",金水路108号,58,8737,"['2室1厅1卫', '高楼层 (共7层)', '66.39㎡', '平层', '板楼', '东南 东 南', '砖混结构', '简装', '一梯两户', '自供暖']"
"['中原区', '热电厂']",物华城上城,105,11880,"['2室2厅1卫', '高楼层 (共15层)', '88.39㎡', '平层', '69.48㎡', '板楼', '南', '钢混结构', '简装', '两梯三户', '集中供暖', '有']"
"['管城回族区', '万客来']",春天花园,101,10340,"['2室2厅1卫', '中楼层 (共11层)', '97.68㎡', '平层', '板楼', '南 北', '钢混结构', '精装', '一梯两户', '自供暖']"
"['郑东新区', '郑东老街']",永威翰林居,418,32007,"['3室2厅2卫', '高楼层 (共8层)', '130.6㎡', '平层', '板楼', '东', '钢混结构', '精装', '一梯三户', '集中供暖', '有']"
"['管城回族区', '管南区域']",七里香堤,132,14538,"['3室1厅1卫', '低楼层 (共28层)', '90.8㎡', '平层', '68.56㎡', '板塔结合', '东南', '钢混结构', '精装', '两梯五户', '集中供暖', '有']"
"['中原区', '月季公园']",嵩岳小区,56,9743,"['2室1厅1卫', '中楼层 (共6层)', '57.48㎡', '平层', '板楼', '南', '砖混结构', '简装', '一梯三户', '自供暖']"
